Time,Skel55:Hips.X,Skel55:Hips.Y,Skel55:Hips.Z,Skel55:Spine.X,Skel55:Spine.Y,Skel55:Spine.Z,Skel55:LeftShoulder.X,Skel55:LeftShoulder.Y,Skel55:LeftShoulder.Z,Skel55:LeftArm.X,Skel55:LeftArm.Y,Skel55:LeftArm.Z,Skel55:LeftForeArm.X,Skel55:LeftForeArm.Y,Skel55:LeftForeArm.Z,Skel55:LeftHand.X,Skel55:LeftHand.Y,Skel55:LeftHand.Z,Skel55:LeftHandEnd.X,Skel55:LeftHandEnd.Y,Skel55:LeftHandEnd.Z,Skel55:RightShoulder.X,Skel55:RightShoulder.Y,Skel55:RightShoulder.Z,Skel55:RightArm.X,Skel55:RightArm.Y,Skel55:RightArm.Z,Skel55:RightForeArm.X,Skel55:RightForeArm.Y,Skel55:RightForeArm.Z,Skel55:RightHand.X,Skel55:RightHand.Y,Skel55:RightHand.Z,Skel55:RightHandEnd.X,Skel55:RightHandEnd.Y,Skel55:RightHandEnd.Z,Skel55:Neck.X,Skel55:Neck.Y,Skel55:Neck.Z,Skel55:Head.X,Skel55:Head.Y,Skel55:Head.Z,Skel55:HeadEnd.X,Skel55:HeadEnd.Y,Skel55:HeadEnd.Z,Skel55:RightUpLeg.X,Skel55:RightUpLeg.Y,Skel55:RightUpLeg.Z,Skel55:RightLeg.X,Skel55:RightLeg.Y,Skel55:RightLeg.Z,Skel55:RightFoot.X,Skel55:RightFoot.Y,Skel55:RightFoot.Z,Skel55:RightToeBase.X,Skel55:RightToeBase.Y,Skel55:RightToeBase.Z,Skel55:RightToeBaseEnd.X,Skel55:RightToeBaseEnd.Y,Skel55:RightToeBaseEnd.Z,Skel55:LeftUpLeg.X,Skel55:LeftUpLeg.Y,Skel55:LeftUpLeg.Z,Skel55:LeftLeg.X,Skel55:LeftLeg.Y,Skel55:LeftLeg.Z,Skel55:LeftFoot.X,Skel55:LeftFoot.Y,Skel55:LeftFoot.Z,Skel55:LeftToeBase.X,Skel55:LeftToeBase.Y,Skel55:LeftToeBase.Z,Skel55:LeftToeBaseEnd.X,Skel55:LeftToeBaseEnd.Y,Skel55:LeftToeBaseEnd.Z
1,-1.123823,63.892845,81.982971,-1.053819105,82.66032395,82.28247124,-20.95280198,107.0514404,83.30851366,-20.95280198,107.0514404,83.30851366,-28.27447912,83.16057932,84.09578793,-24.74455026,75.73297939,60.48709543,-21.21462099,68.30537961,36.87840295,19.02664449,106.9226718,82.03286535,19.02664449,106.9226718,82.03286535,26.57330238,83.37038242,78.38079465,20.86701224,83.28445004,54.04089185,15.16072168,83.1985176,29.70098915,-0.9630787422,106.9870561,82.6706895,-0.1876343665,119.5165024,82.26428549,0.5878100162,132.0459488,81.85788006,9.761206953,63.85746259,81.65590678,26.05144957,71.74001841,41.516963,42.32428963,78.22446631,3.950370432,41.66891673,76.66425429,-0.945406213,41.01354495,75.10403842,-5.841180852,-12.00885295,63.92822741,82.31003522,-31.6694748,72.28763797,43.81040273,-63.28455322,45.66285609,46.92650159,-64.25791993,42.68710303,42.79977709,-65.23128534,39.71134692,38.67305558
1.04,-1.143516,63.901726,81.994995,-1.071170653,82.6691956,82.29452495,-20.9674641,107.062973,83.30940152,-20.9674641,107.062973,83.30940152,-28.37758456,83.19691979,84.01765176,-24.90921004,77.40778777,59.94575261,-21.44083551,71.61865575,35.87385346,19.01267351,106.9288582,82.05616157,19.01267351,106.9288582,82.05616157,26.54068894,83.28673659,78.99363504,20.75543152,80.96326494,54.78346619,14.97017412,78.63979372,30.57329728,-0.9773952948,106.9959156,82.68278155,-0.1948844462,119.5249316,82.2766571,0.5876264118,132.0539478,81.87053168,9.74162018,63.86492639,81.6716436,25.55633597,72.53842155,41.5056537,41.4062854,79.77353866,3.895356581,40.75328805,78.20807372,-0.9990604585,40.10029185,76.64260496,-5.893475495,-12.02865218,63.93852561,82.3183464,-31.90273621,72.16044216,43.89878926,-62.29192894,44.24837977,47.8378252,-63.03366772,41.36302081,43.60026324,-63.77540528,38.4776589,39.36270415
1.08,-1.169315,63.9104,82.008011,-1.094199934,82.67785972,82.30747786,-20.98726393,107.0747693,83.31030073,-20.98726393,107.0747693,83.31030073,-28.53170034,83.24687177,83.86956892,-25.02662308,79.4905901,59.40316785,-21.52154581,75.73430842,34.93676678,18.99359548,106.9343646,82.08100526,18.99359548,106.9343646,82.08100526,26.45666497,83.20578863,79.57955056,20.67649569,78.85713522,55.64884107,14.89632581,74.50848109,31.71813186,-0.9968342268,107.0045669,82.695653,-0.2068908261,119.5331077,82.28925789,0.5830525839,132.0616487,81.88286181,9.715954464,63.87191704,81.68937679,25.05963294,73.17134549,41.4807501,40.48028579,81.00484273,3.811902862,39.82680767,79.43453685,-1.080898992,39.17333065,77.86422714,-5.973698827,-12.05458446,63.94888296,82.32664521,-32.26277653,71.79997276,44.00392531,-61.92978551,43.15606932,48.18694331,-62.58986882,40.27653348,43.93195006,-63.249951,37.39699438,39.67695992
1.12,-1.197867,63.918091,82.019707,-1.118803556,82.68554407,82.31857389,-21.00709441,107.0868602,83.30877768,-21.00709441,107.0868602,83.30877768,-28.61082535,83.27225151,83.52715991,-25.11839829,81.99283549,58.80538716,-21.62597124,80.71341947,34.08361441,18.97445413,106.9376252,82.10316356,18.97445413,106.9376252,82.10316356,26.36775963,83.13725379,80.13304782,20.59252581,77.03654472,56.5867525,14.81729157,70.93583448,33.04045759,-1.016320141,107.0122427,82.70597062,-0.2170137207,119.5401679,82.29890839,0.5822927121,132.0680934,81.89184563,9.687528799,63.87723324,81.70571823,24.71574094,73.53828601,41.4632233,39.84941579,81.71815181,3.751634282,39.20394113,80.14518004,-1.141373632,38.55846757,78.57220426,-6.034379469,-12.0832628,63.95894876,82.33369577,-32.70774393,71.28388123,44.12875315,-62.31979038,42.58213854,48.30474844,-63.09091322,39.46552877,44.23971249,-63.86203476,36.34891608,40.17467966
1.16,-1.22724,63.924652,82.029106,-1.142624943,82.69209029,82.32738022,-21.02444608,107.0997273,83.29137561,-21.02444608,107.0997273,83.29137561,-28.7006496,83.30920579,82.9964428,-25.24315252,84.78281567,58.28057365,-21.78565587,86.25642548,33.56470443,18.95855498,106.9378121,82.1366418,18.95855498,106.9378121,82.1366418,26.28669313,83.08352733,80.62949639,20.49510828,75.54805009,57.5064748,14.7035236,68.01257322,34.38345304,-1.032945548,107.0187697,82.7140087,-0.2207179596,119.5458453,82.30637357,0.5915096377,132.0729211,81.89873746,9.65848333,63.88037128,81.72716758,24.56662071,73.66022676,41.46871052,39.59230163,81.95354797,3.738722425,38.96820422,80.38301093,-1.157839632,38.34410791,78.81247005,-6.054399665,-12.11296333,63.96893272,82.33104442,-33.1662793,70.69903349,44.2507985,-63.62001178,42.7621525,47.44503147,-64.58137706,39.4319491,43.59562551,-65.5427406,36.10174298,39.74622265
1.2,-1.256498,63.930229,82.036018,-1.162187162,82.69763052,82.33369696,-21.0326501,107.1162918,83.25159067,-21.0326501,107.1162918,83.25159067,-28.8204539,83.38139543,82.24918956,-25.50104033,87.81432824,57.87029294,-22.18162683,92.24726146,33.49139639,18.95277062,106.9322328,82.18751751,18.95277062,106.9322328,82.18751751,26.2135672,83.03727055,81.04226146,20.39621106,74.39897816,58.31478311,14.57885513,65.7606861,35.58730458,-1.039939741,107.0242623,82.71955409,-0.2114781234,119.5502787,82.31204024,0.6169835032,132.0762952,81.90452542,9.62980986,63.87994888,81.75696052,24.37431678,73.69516742,41.44688114,39.2473396,82.02167498,3.663753566,38.63542395,80.47038075,-1.240474161,38.02350931,78.91908265,-6.144699863,-12.14280586,63.98050912,82.31507548,-33.58690055,70.11935854,44.3531626,-65.38506763,43.55670626,45.53821085,-66.53823276,40.17758327,41.78532634,-67.69139562,36.7984573,38.03244503
1.24,-1.28329,63.934761,82.040367,-1.177629955,82.70211124,82.33746639,-21.03461376,107.1336292,83.20347446,-21.03461376,107.1336292,83.20347446,-28.96958772,83.4969842,81.37448475,-25.98822022,90.81297535,57.65555304,-23.00685273,98.12896649,33.93662133,18.95327031,106.9237239,82.24167021,18.95327031,106.9237239,82.24167021,26.12328155,82.99573998,81.22062998,20.39768775,73.75962876,58.70592756,14.67209353,64.52351687,36.19122552,-1.040671724,107.0286765,82.72257234,-0.189023681,119.553154,82.31555556,0.6626243696,132.0776316,81.90853737,9.603619607,63.87747319,81.78735055,24.22409782,73.56039765,41.40017326,38.97896755,81.75973703,3.54298215,38.3778885,80.22889495,-1.369006314,37.77681046,78.69804883,-6.28099271,-12.17019961,63.99204881,82.29338345,-33.94281074,69.64082722,44.44254191,-66.73594337,44.29416086,43.93340385,-68.05085535,40.62201702,40.52477212,-69.36576499,36.94987082,37.11614337
1.28,-1.307585,63.93853,82.042686,-1.187492135,82.70580265,82.33920259,-21.02684727,107.1534315,83.15300578,-21.02684727,107.1534315,83.15300578,-29.19813398,83.68300666,80.43837284,-26.94418016,93.78877504,57.68330445,-24.69022641,103.8945426,34.9282357,18.96319596,106.9111033,82.29410019,18.96319596,106.9111033,82.29410019,26.07065481,82.96261379,81.31743251,20.4388217,73.37097165,58.92808556,14.80698859,63.77932952,36.5387386,-1.031825654,107.0322674,82.72355298,-0.1540147605,119.5549332,82.31637955,0.7237961402,132.0775993,81.9092047,9.579852371,63.87244409,81.81588181,24.11796327,73.2842087,41.3349787,38.79217865,81.22352981,3.391114256,38.20322813,79.71141773,-1.528139601,37.61427866,78.19930179,-6.447391467,-12.19502237,64.00461591,82.26949019,-34.23853329,69.29259019,44.52346453,-67.61843738,44.77301149,42.88806576,-69.01252788,40.81547942,39.85049176,-70.40661588,36.8579454,36.81292067
1.32,-1.328155,63.941536,82.043701,-1.198782856,82.70875601,82.33964508,-21.02664266,107.1666743,83.12389939,-21.02664266,107.1666743,83.12389939,-29.45469425,83.89060165,79.63213902,-28.40993905,96.85214896,58.28016539,-27.36518328,109.8136965,36.92819191,18.9644656,106.9036308,82.32260766,18.9644656,106.9036308,82.32260766,26.03348004,82.94268906,81.37270944,20.45120193,73.12305006,59.06995488,14.8689242,63.30341084,36.76720033,-1.031088529,107.0351525,82.72325353,-0.1297700223,119.5561128,82.31498839,0.7715484934,132.0770733,81.90672229,9.559527218,63.86983918,81.83077971,23.96701508,73.01521505,41.24226049,38.51614542,80.69957431,3.197869386,37.93424583,79.20007211,-1.726081281,37.35234727,77.70056585,-6.650029909,-12.21583722,64.01323282,82.25662229,-34.48845272,69.05210295,44.611146,-68.13975387,44.94893361,42.43642202,-69.55305179,40.80585044,39.66697171,-70.96634701,36.66276542,36.89752445
1.36,-1.344964,63.943779,82.044006,-1.21161825,82.71097928,82.33943707,-21.03493482,107.1736454,83.08972319,-21.03493482,107.1736454,83.08972319,-29.71097985,84.08545046,79.00787359,-29.8199289,100.5021959,60.15373349,-29.9288777,116.9189411,41.29959317,18.95738855,106.901055,82.35503587,18.95738855,106.901055,82.35503587,26.00714206,82.93338607,81.43209505,20.46541002,72.96888995,59.18354402,14.92367799,63.00439383,36.93499299,-1.038773135,107.0373502,82.72237953,-0.1166993792,119.5567709,82.3132477,0.8053743838,132.0761917,81.9041149,9.542965508,63.86954932,81.84505629,23.81928632,72.82878573,41.16877026,38.24572274,80.33744651,3.042660949,37.67483587,78.83943709,-1.883032923,37.10394995,77.34142378,-6.808724796,-12.23289351,64.01800868,82.24295571,-34.65466184,68.89865463,44.66523494,-68.39042024,44.93067951,42.31214336,-69.79366213,40.6831469,39.70028903,-71.19690142,36.43561265,37.0884377
